Connected to mysqlserver
HDIL 2018-03-31 2018-03-31
HDIL 2018-04-01 2018-04-30
HDIL 2018-05-01 2018-05-30
HDIL 2018-05-31 2018-05-31
HDIL 2018-06-01 2018-06-30
HEROMOTOCO 2018-01-01 2018-01-30
HEROMOTOCO 2018-02-01 2018-02-28
HEROMOTOCO 2018-03-01 2018-03-30
HEROMOTOCO 2018-03-31 2018-03-31
HEROMOTOCO 2018-04-01 2018-04-30
HEROMOTOCO 2018-05-01 2018-05-30
HEROMOTOCO 2018-05-31 2018-05-31
HEROMOTOCO 2018-06-01 2018-06-30
HEXAWARE 2018-01-01 2018-01-30
HEXAWARE 2018-02-01 2018-02-28
HEXAWARE 2018-03-01 2018-03-30
HEXAWARE 2018-03-31 2018-03-31
HEXAWARE 2018-04-01 2018-04-30
HEXAWARE 2018-05-01 2018-05-30
Commited candles: 3600000
HEXAWARE 2018-05-31 2018-05-31
HEXAWARE 2018-06-01 2018-06-30
HINDALCO 2018-01-01 2018-01-30
HINDALCO 2018-02-01 2018-02-28
HINDALCO 2018-03-01 2018-03-30
HINDALCO 2018-03-31 2018-03-31
HINDALCO 2018-04-01 2018-04-30
HINDALCO 2018-05-01 2018-05-30
HINDALCO 2018-05-31 2018-05-31
HINDALCO 2018-06-01 2018-06-30
HINDPETRO 2018-01-01 2018-01-30
HINDPETRO 2018-02-01 2018-02-28
HINDPETRO 2018-03-01 2018-03-30
HINDPETRO 2018-03-31 2018-03-31
HINDPETRO 2018-04-01 2018-04-30
HINDPETRO 2018-05-01 2018-05-30
HINDPETRO 2018-05-31 2018-05-31
HINDPETRO 2018-06-01 2018-06-30
HINDUNILVR 2018-01-01 2018-01-30
HINDUNILVR 2018-02-01 2018-02-28
HINDUNILVR 2018-03-01 2018-03-30
HINDUNILVR 2018-03-31 2018-03-31
HINDUNILVR 2018-04-01 2018-04-30
HINDUNILVR 2018-05-01 2018-05-30
HINDUNILVR 2018-05-31 2018-05-31
HINDUNILVR 2018-06-01 2018-06-30
HINDZINC 2018-01-01 2018-01-30
HINDZINC 2018-02-01 2018-02-28
Commited candles: 3750000
HINDZINC 2018-03-01 2018-03-30
HINDZINC 2018-03-31 2018-03-31
HINDZINC 2018-04-01 2018-04-30
HINDZINC 2018-05-01 2018-05-30
HINDZINC 2018-05-31 2018-05-31
HINDZINC 2018-06-01 2018-06-30
IBULHSGFIN 2018-01-01 2018-01-30
IBULHSGFIN 2018-02-01 2018-02-28
IBULHSGFIN 2018-03-01 2018-03-30
IBULHSGFIN 2018-03-31 2018-03-31
IBULHSGFIN 2018-04-01 2018-04-30
IBULHSGFIN 2018-05-01 2018-05-30
IBULHSGFIN 2018-05-31 2018-05-31
IBULHSGFIN 2018-06-01 2018-06-30
ICICIBANK 2018-01-01 2018-01-30
ICICIBANK 2018-02-01 2018-02-28
ICICIBANK 2018-03-01 2018-03-30
ICICIBANK 2018-03-31 2018-03-31
ICICIBANK 2018-04-01 2018-04-30
ICICIBANK 2018-05-01 2018-05-30
ICICIBANK 2018-05-31 2018-05-31
ICICIBANK 2018-06-01 2018-06-30
ICICIPRULI 2018-01-01 2018-01-30
ICICIPRULI 2018-02-01 2018-02-28
ICICIPRULI 2018-03-01 2018-03-30
ICICIPRULI 2018-03-31 2018-03-31
ICICIPRULI 2018-04-01 2018-04-30
Commited candles: 3900000
ICICIPRULI 2018-05-01 2018-05-30
ICICIPRULI 2018-05-31 2018-05-31
ICICIPRULI 2018-06-01 2018-06-30
IDBI 2018-01-01 2018-01-30
IDBI 2018-02-01 2018-02-28
IDBI 2018-03-01 2018-03-30
IDBI 2018-03-31 2018-03-31
IDBI 2018-04-01 2018-04-30
IDBI 2018-05-01 2018-05-30
IDBI 2018-05-31 2018-05-31
IDBI 2018-06-01 2018-06-30
IDEA 2018-01-01 2018-01-30
IDEA 2018-02-01 2018-02-28
IDEA 2018-03-01 2018-03-30
IDEA 2018-03-31 2018-03-31
IDEA 2018-04-01 2018-04-30
IDEA 2018-05-01 2018-05-30
IDEA 2018-05-31 2018-05-31
IDEA 2018-06-01 2018-06-30
IDFC 2018-01-01 2018-01-30
IDFC 2018-02-01 2018-02-28
IDFC 2018-03-01 2018-03-30
IDFC 2018-03-31 2018-03-31
IDFC 2018-04-01 2018-04-30
IDFC 2018-05-01 2018-05-30
IDFC 2018-05-31 2018-05-31
IDFC 2018-06-01 2018-06-30
IDFCBANK 2018-01-01 2018-01-30
Commited candles: 4050000
IDFCBANK 2018-02-01 2018-02-28
IDFCBANK 2018-03-01 2018-03-30
IDFCBANK 2018-03-31 2018-03-31
IDFCBANK 2018-04-01 2018-04-30
IDFCBANK 2018-05-01 2018-05-30
IDFCBANK 2018-05-31 2018-05-31
IDFCBANK 2018-06-01 2018-06-30
IFCI 2018-01-01 2018-01-30
IFCI 2018-02-01 2018-02-28
IFCI 2018-03-01 2018-03-30
IFCI 2018-03-31 2018-03-31
IFCI 2018-04-01 2018-04-30
IFCI 2018-05-01 2018-05-30
IFCI 2018-05-31 2018-05-31
IFCI 2018-06-01 2018-06-30
IGL 2018-01-01 2018-01-30
IGL 2018-02-01 2018-02-28
IGL 2018-03-01 2018-03-30
IGL 2018-03-31 2018-03-31
IGL 2018-04-01 2018-04-30
IGL 2018-05-01 2018-05-30
IGL 2018-05-31 2018-05-31
IGL 2018-06-01 2018-06-30
INDIACEM 2018-01-01 2018-01-30
INDIACEM 2018-02-01 2018-02-28
INDIACEM 2018-03-01 2018-03-30
INDIACEM 2018-03-31 2018-03-31
INDIACEM 2018-04-01 2018-04-30
Commited candles: 4200000
INDIACEM 2018-05-01 2018-05-30
INDIACEM 2018-05-31 2018-05-31
INDIACEM 2018-06-01 2018-06-30
INDIANB 2018-01-01 2018-01-30
INDIANB 2018-02-01 2018-02-28
INDIANB 2018-03-01 2018-03-30
INDIANB 2018-03-31 2018-03-31
INDIANB 2018-04-01 2018-04-30
INDIANB 2018-05-01 2018-05-30
INDIANB 2018-05-31 2018-05-31
INDIANB 2018-06-01 2018-06-30
INDIGO 2018-01-01 2018-01-30
INDIGO 2018-02-01 2018-02-28
INDIGO 2018-03-01 2018-03-30
INDIGO 2018-03-31 2018-03-31
INDIGO 2018-04-01 2018-04-30
INDIGO 2018-05-01 2018-05-30
INDIGO 2018-05-31 2018-05-31
INDIGO 2018-06-01 2018-06-30
INDUSINDBK 2018-01-01 2018-01-30
INDUSINDBK 2018-02-01 2018-02-28
INDUSINDBK 2018-03-01 2018-03-30
INDUSINDBK 2018-03-31 2018-03-31
INDUSINDBK 2018-04-01 2018-04-30
INDUSINDBK 2018-05-01 2018-05-30
INDUSINDBK 2018-05-31 2018-05-31
INDUSINDBK 2018-06-01 2018-06-30
INFIBEAM 2018-01-01 2018-01-30
Commited candles: 4350000
INFIBEAM 2018-02-01 2018-02-28
INFIBEAM 2018-03-01 2018-03-30
INFIBEAM 2018-03-31 2018-03-31
INFIBEAM 2018-04-01 2018-04-30
INFIBEAM 2018-05-01 2018-05-30
INFIBEAM 2018-05-31 2018-05-31
INFIBEAM 2018-06-01 2018-06-30
INFRATEL 2018-01-01 2018-01-30
INFRATEL 2018-02-01 2018-02-28
INFRATEL 2018-03-01 2018-03-30
INFRATEL 2018-03-31 2018-03-31
INFRATEL 2018-04-01 2018-04-30
INFRATEL 2018-05-01 2018-05-30
INFRATEL 2018-05-31 2018-05-31
INFRATEL 2018-06-01 2018-06-30
INFY 2018-01-01 2018-01-30
INFY 2018-02-01 2018-02-28
INFY 2018-03-01 2018-03-30
INFY 2018-03-31 2018-03-31
INFY 2018-04-01 2018-04-30
INFY 2018-05-01 2018-05-30
INFY 2018-05-31 2018-05-31
INFY 2018-06-01 2018-06-30
IOC 2018-01-01 2018-01-30
IOC 2018-02-01 2018-02-28
IOC 2018-03-01 2018-03-30
Commited candles: 4500000
IOC 2018-03-31 2018-03-31
IOC 2018-04-01 2018-04-30
IOC 2018-05-01 2018-05-30
IOC 2018-05-31 2018-05-31
IOC 2018-06-01 2018-06-30
IRB 2018-01-01 2018-01-30
IRB 2018-02-01 2018-02-28
IRB 2018-03-01 2018-03-30
IRB 2018-03-31 2018-03-31
IRB 2018-04-01 2018-04-30
IRB 2018-05-01 2018-05-30
IRB 2018-05-31 2018-05-31
IRB 2018-06-01 2018-06-30
ITC 2018-01-01 2018-01-30
ITC 2018-02-01 2018-02-28
ITC 2018-03-01 2018-03-30
ITC 2018-03-31 2018-03-31
ITC 2018-04-01 2018-04-30
ITC 2018-05-01 2018-05-30
ITC 2018-05-31 2018-05-31
ITC 2018-06-01 2018-06-30
JETAIRWAYS 2018-01-01 2018-01-30
JETAIRWAYS 2018-02-01 2018-02-28
JETAIRWAYS 2018-03-01 2018-03-30
JETAIRWAYS 2018-03-31 2018-03-31
JETAIRWAYS 2018-04-01 2018-04-30
JETAIRWAYS 2018-05-01 2018-05-30
JETAIRWAYS 2018-05-31 2018-05-31
JETAIRWAYS 2018-06-01 2018-06-30
Commited candles: 4650000
JINDALSTEL 2018-01-01 2018-01-30
JINDALSTEL 2018-02-01 2018-02-28
JINDALSTEL 2018-03-01 2018-03-30
JINDALSTEL 2018-03-31 2018-03-31
JINDALSTEL 2018-04-01 2018-04-30
JINDALSTEL 2018-05-01 2018-05-30
JINDALSTEL 2018-05-31 2018-05-31
JINDALSTEL 2018-06-01 2018-06-30
JISLJALEQS 2018-01-01 2018-01-30
JISLJALEQS 2018-02-01 2018-02-28
JISLJALEQS 2018-03-01 2018-03-30
JISLJALEQS 2018-03-31 2018-03-31
JISLJALEQS 2018-04-01 2018-04-30
JISLJALEQS 2018-05-01 2018-05-30
JISLJALEQS 2018-05-31 2018-05-31
JISLJALEQS 2018-06-01 2018-06-30
JPASSOCIAT 2018-01-01 2018-01-30
JPASSOCIAT 2018-02-01 2018-02-28
JPASSOCIAT 2018-03-01 2018-03-30
JPASSOCIAT 2018-03-31 2018-03-31
JPASSOCIAT 2018-04-01 2018-04-30
JPASSOCIAT 2018-05-01 2018-05-30
JPASSOCIAT 2018-05-31 2018-05-31
JPASSOCIAT 2018-06-01 2018-06-30
JSWSTEEL 2018-01-01 2018-01-30
JSWSTEEL 2018-02-01 2018-02-28
JSWSTEEL 2018-03-01 2018-03-30
Commited candles: 4800000
JSWSTEEL 2018-03-31 2018-03-31
JSWSTEEL 2018-04-01 2018-04-30
JSWSTEEL 2018-05-01 2018-05-30
JSWSTEEL 2018-05-31 2018-05-31
JSWSTEEL 2018-06-01 2018-06-30
JUBLFOOD 2018-01-01 2018-01-30
JUBLFOOD 2018-02-01 2018-02-28
JUBLFOOD 2018-03-01 2018-03-30
JUBLFOOD 2018-03-31 2018-03-31
JUBLFOOD 2018-04-01 2018-04-30
JUBLFOOD 2018-05-01 2018-05-30
JUBLFOOD 2018-05-31 2018-05-31
JUBLFOOD 2018-06-01 2018-06-30
JUSTDIAL 2018-01-01 2018-01-30
JUSTDIAL 2018-02-01 2018-02-28
JUSTDIAL 2018-03-01 2018-03-30
JUSTDIAL 2018-03-31 2018-03-31
JUSTDIAL 2018-04-01 2018-04-30
JUSTDIAL 2018-05-01 2018-05-30
JUSTDIAL 2018-05-31 2018-05-31
JUSTDIAL 2018-06-01 2018-06-30
KAJARIACER 2018-01-01 2018-01-30
KAJARIACER 2018-02-01 2018-02-28
KAJARIACER 2018-03-01 2018-03-30
KAJARIACER 2018-03-31 2018-03-31
KAJARIACER 2018-04-01 2018-04-30
KAJARIACER 2018-05-01 2018-05-30
Commited candles: 4950000
KAJARIACER 2018-05-31 2018-05-31
KAJARIACER 2018-06-01 2018-06-30
KOTAKBANK 2018-01-01 2018-01-30
KOTAKBANK 2018-02-01 2018-02-28
KOTAKBANK 2018-03-01 2018-03-30
KOTAKBANK 2018-03-31 2018-03-31
KOTAKBANK 2018-04-01 2018-04-30
KOTAKBANK 2018-05-01 2018-05-30
KOTAKBANK 2018-05-31 2018-05-31
KOTAKBANK 2018-06-01 2018-06-30
KPIT 2018-01-01 2018-01-30
KPIT 2018-02-01 2018-02-28
KPIT 2018-03-01 2018-03-30
KPIT 2018-03-31 2018-03-31
KPIT 2018-04-01 2018-04-30
KPIT 2018-05-01 2018-05-30
KPIT 2018-05-31 2018-05-31
KPIT 2018-06-01 2018-06-30
KSCL 2018-01-01 2018-01-30
KSCL 2018-02-01 2018-02-28
KSCL 2018-03-01 2018-03-30
KSCL 2018-03-31 2018-03-31
KSCL 2018-04-01 2018-04-30
KSCL 2018-05-01 2018-05-30
KSCL 2018-05-31 2018-05-31
KSCL 2018-06-01 2018-06-30
KTKBANK 2018-01-01 2018-01-30
KTKBANK 2018-02-01 2018-02-28
Commited candles: 5100000
KTKBANK 2018-03-01 2018-03-30
KTKBANK 2018-03-31 2018-03-31
KTKBANK 2018-04-01 2018-04-30
KTKBANK 2018-05-01 2018-05-30
KTKBANK 2018-05-31 2018-05-31
KTKBANK 2018-06-01 2018-06-30
L&TFH 2018-01-01 2018-01-30
L&TFH 2018-02-01 2018-02-28
L&TFH 2018-03-01 2018-03-30
L&TFH 2018-03-31 2018-03-31
L&TFH 2018-04-01 2018-04-30
L&TFH 2018-05-01 2018-05-30
L&TFH 2018-05-31 2018-05-31
L&TFH 2018-06-01 2018-06-30
LICHSGFIN 2018-01-01 2018-01-30
LICHSGFIN 2018-02-01 2018-02-28
LICHSGFIN 2018-03-01 2018-03-30
LICHSGFIN 2018-03-31 2018-03-31
LICHSGFIN 2018-04-01 2018-04-30
LICHSGFIN 2018-05-01 2018-05-30
LICHSGFIN 2018-05-31 2018-05-31
LICHSGFIN 2018-06-01 2018-06-30
LT 2018-01-01 2018-01-30
LT 2018-02-01 2018-02-28
LT 2018-03-01 2018-03-30
LT 2018-03-31 2018-03-31
LT 2018-04-01 2018-04-30
LT 2018-05-01 2018-05-30
Commited candles: 5250000
LT 2018-05-31 2018-05-31
LT 2018-06-01 2018-06-30
LUPIN 2018-01-01 2018-01-30
LUPIN 2018-02-01 2018-02-28
LUPIN 2018-03-01 2018-03-30
LUPIN 2018-03-31 2018-03-31
LUPIN 2018-04-01 2018-04-30
LUPIN 2018-05-01 2018-05-30
LUPIN 2018-05-31 2018-05-31
LUPIN 2018-06-01 2018-06-30
M&M 2018-01-01 2018-01-30
M&M 2018-02-01 2018-02-28
M&M 2018-03-01 2018-03-30
M&M 2018-03-31 2018-03-31
M&M 2018-04-01 2018-04-30
M&M 2018-05-01 2018-05-30
M&M 2018-05-31 2018-05-31
M&M 2018-06-01 2018-06-30
M&MFIN 2018-01-01 2018-01-30
M&MFIN 2018-02-01 2018-02-28
M&MFIN 2018-03-01 2018-03-30
M&MFIN 2018-03-31 2018-03-31
M&MFIN 2018-04-01 2018-04-30
M&MFIN 2018-05-01 2018-05-30
M&MFIN 2018-05-31 2018-05-31
M&MFIN 2018-06-01 2018-06-30
MANAPPURAM 2018-01-01 2018-01-30
Commited candles: 5400000
MANAPPURAM 2018-02-01 2018-02-28
MANAPPURAM 2018-03-01 2018-03-30
MANAPPURAM 2018-03-31 2018-03-31
MANAPPURAM 2018-04-01 2018-04-30
MANAPPURAM 2018-05-01 2018-05-30
MANAPPURAM 2018-05-31 2018-05-31
MANAPPURAM 2018-06-01 2018-06-30
MARICO 2018-01-01 2018-01-30
MARICO 2018-02-01 2018-02-28
MARICO 2018-03-01 2018-03-30
MARICO 2018-03-31 2018-03-31
MARICO 2018-04-01 2018-04-30
MARICO 2018-05-01 2018-05-30
MARICO 2018-05-31 2018-05-31
MARICO 2018-06-01 2018-06-30
MARUTI 2018-01-01 2018-01-30
MARUTI 2018-02-01 2018-02-28
MARUTI 2018-03-01 2018-03-30
MARUTI 2018-03-31 2018-03-31
MARUTI 2018-04-01 2018-04-30
MARUTI 2018-05-01 2018-05-30
MARUTI 2018-05-31 2018-05-31
MARUTI 2018-06-01 2018-06-30
MCDOWELL-N 2018-01-01 2018-01-30
MCDOWELL-N 2018-02-01 2018-02-28
MCDOWELL-N 2018-03-01 2018-03-30
MCDOWELL-N 2018-03-31 2018-03-31
MCDOWELL-N 2018-04-01 2018-04-30
Commited candles: 5550000
MCDOWELL-N 2018-05-01 2018-05-30
MCDOWELL-N 2018-05-31 2018-05-31
MCDOWELL-N 2018-06-01 2018-06-30
MCX 2018-01-01 2018-01-30
MCX 2018-02-01 2018-02-28
MCX 2018-03-01 2018-03-30
MCX 2018-03-31 2018-03-31
MCX 2018-04-01 2018-04-30
MCX 2018-05-01 2018-05-30
MCX 2018-05-31 2018-05-31
MCX 2018-06-01 2018-06-30
MFSL 2018-01-01 2018-01-30
MFSL 2018-02-01 2018-02-28
MFSL 2018-03-01 2018-03-30
MFSL 2018-03-31 2018-03-31
MFSL 2018-04-01 2018-04-30
MFSL 2018-05-01 2018-05-30
MFSL 2018-05-31 2018-05-31
MFSL 2018-06-01 2018-06-30
MGL 2018-01-01 2018-01-30
MGL 2018-02-01 2018-02-28
MGL 2018-03-01 2018-03-30
MGL 2018-03-31 2018-03-31
MGL 2018-04-01 2018-04-30
MGL 2018-05-01 2018-05-30
MGL 2018-05-31 2018-05-31
MGL 2018-06-01 2018-06-30
MINDTREE 2018-01-01 2018-01-30
Commited candles: 5700000
MINDTREE 2018-02-01 2018-02-28
MINDTREE 2018-03-01 2018-03-30
MINDTREE 2018-03-31 2018-03-31
MINDTREE 2018-04-01 2018-04-30
MINDTREE 2018-05-01 2018-05-30
MINDTREE 2018-05-31 2018-05-31
MINDTREE 2018-06-01 2018-06-30
MOTHERSUMI 2018-01-01 2018-01-30
MOTHERSUMI 2018-02-01 2018-02-28
MOTHERSUMI 2018-03-01 2018-03-30
MOTHERSUMI 2018-03-31 2018-03-31
MOTHERSUMI 2018-04-01 2018-04-30
MOTHERSUMI 2018-05-01 2018-05-30
MOTHERSUMI 2018-05-31 2018-05-31
MOTHERSUMI 2018-06-01 2018-06-30
MRF 2018-01-01 2018-01-30
MRF 2018-02-01 2018-02-28
MRF 2018-03-01 2018-03-30
MRF 2018-03-31 2018-03-31
MRF 2018-04-01 2018-04-30
MRF 2018-05-01 2018-05-30
MRF 2018-05-31 2018-05-31
MRF 2018-06-01 2018-06-30
MRPL 2018-01-01 2018-01-30
MRPL 2018-02-01 2018-02-28
MRPL 2018-03-01 2018-03-30
Commited candles: 5850000
MRPL 2018-03-31 2018-03-31
MRPL 2018-04-01 2018-04-30
MRPL 2018-05-01 2018-05-30
MRPL 2018-05-31 2018-05-31
MRPL 2018-06-01 2018-06-30
MUTHOOTFIN 2018-01-01 2018-01-30
MUTHOOTFIN 2018-02-01 2018-02-28
MUTHOOTFIN 2018-03-01 2018-03-30
MUTHOOTFIN 2018-03-31 2018-03-31
MUTHOOTFIN 2018-04-01 2018-04-30
MUTHOOTFIN 2018-05-01 2018-05-30
MUTHOOTFIN 2018-05-31 2018-05-31
MUTHOOTFIN 2018-06-01 2018-06-30
NATIONALUM 2018-01-01 2018-01-30
NATIONALUM 2018-02-01 2018-02-28
NATIONALUM 2018-03-01 2018-03-30
NATIONALUM 2018-03-31 2018-03-31
NATIONALUM 2018-04-01 2018-04-30
NATIONALUM 2018-05-01 2018-05-30
NATIONALUM 2018-05-31 2018-05-31
NATIONALUM 2018-06-01 2018-06-30
NBCC 2018-01-01 2018-01-30
NBCC 2018-02-01 2018-02-28
NBCC 2018-03-01 2018-03-30
NBCC 2018-03-31 2018-03-31
NBCC 2018-04-01 2018-04-30
NBCC 2018-05-01 2018-05-30
NBCC 2018-05-31 2018-05-31
NBCC 2018-06-01 2018-06-30
Commited candles: 6000000
NCC 2018-01-01 2018-01-30
NCC 2018-02-01 2018-02-28
NCC 2018-03-01 2018-03-30
NCC 2018-03-31 2018-03-31
NCC 2018-04-01 2018-04-30
NCC 2018-05-01 2018-05-30
NCC 2018-05-31 2018-05-31
NCC 2018-06-01 2018-06-30
NESTLEIND 2018-01-01 2018-01-30
NESTLEIND 2018-02-01 2018-02-28
NESTLEIND 2018-03-01 2018-03-30
NESTLEIND 2018-03-31 2018-03-31
NESTLEIND 2018-04-01 2018-04-30
NESTLEIND 2018-05-01 2018-05-30
NESTLEIND 2018-05-31 2018-05-31
NESTLEIND 2018-06-01 2018-06-30
NHPC 2018-01-01 2018-01-30
NHPC 2018-02-01 2018-02-28
NHPC 2018-03-01 2018-03-30
NHPC 2018-03-31 2018-03-31
NHPC 2018-04-01 2018-04-30
NHPC 2018-05-01 2018-05-30
NHPC 2018-05-31 2018-05-31
NHPC 2018-06-01 2018-06-30
NIITTECH 2018-01-01 2018-01-30
NIITTECH 2018-02-01 2018-02-28
NIITTECH 2018-03-01 2018-03-30
Commited candles: 6150000
NIITTECH 2018-03-31 2018-03-31
NIITTECH 2018-04-01 2018-04-30
NIITTECH 2018-05-01 2018-05-30
NIITTECH 2018-05-31 2018-05-31
NIITTECH 2018-06-01 2018-06-30
NMDC 2018-01-01 2018-01-30
NMDC 2018-02-01 2018-02-28
NMDC 2018-03-01 2018-03-30
NMDC 2018-03-31 2018-03-31
NMDC 2018-04-01 2018-04-30
NMDC 2018-05-01 2018-05-30
NMDC 2018-05-31 2018-05-31
NMDC 2018-06-01 2018-06-30
NTPC 2018-01-01 2018-01-30
NTPC 2018-02-01 2018-02-28
NTPC 2018-03-01 2018-03-30
NTPC 2018-03-31 2018-03-31
NTPC 2018-04-01 2018-04-30
NTPC 2018-05-01 2018-05-30
NTPC 2018-05-31 2018-05-31
NTPC 2018-06-01 2018-06-30
OFSS 2018-01-01 2018-01-30
OFSS 2018-02-01 2018-02-28
OFSS 2018-03-01 2018-03-30
OFSS 2018-03-31 2018-03-31
OFSS 2018-04-01 2018-04-30
OFSS 2018-05-01 2018-05-30
Commited candles: 6300000
OFSS 2018-05-31 2018-05-31
OFSS 2018-06-01 2018-06-30
OIL 2018-01-01 2018-01-30
OIL 2018-02-01 2018-02-28
OIL 2018-03-01 2018-03-30
OIL 2018-03-31 2018-03-31
OIL 2018-04-01 2018-04-30
OIL 2018-05-01 2018-05-30
OIL 2018-05-31 2018-05-31
OIL 2018-06-01 2018-06-30
ONGC 2018-01-01 2018-01-30
ONGC 2018-02-01 2018-02-28
ONGC 2018-03-01 2018-03-30
ONGC 2018-03-31 2018-03-31
ONGC 2018-04-01 2018-04-30
ONGC 2018-05-01 2018-05-30
ONGC 2018-05-31 2018-05-31
ONGC 2018-06-01 2018-06-30
ORIENTBANK 2018-01-01 2018-01-30
ORIENTBANK 2018-02-01 2018-02-28
ORIENTBANK 2018-03-01 2018-03-30
ORIENTBANK 2018-03-31 2018-03-31
ORIENTBANK 2018-04-01 2018-04-30
ORIENTBANK 2018-05-01 2018-05-30
ORIENTBANK 2018-05-31 2018-05-31
ORIENTBANK 2018-06-01 2018-06-30
PAGEIND 2018-01-01 2018-01-30
PAGEIND 2018-02-01 2018-02-28
Commited candles: 6450000
PAGEIND 2018-03-01 2018-03-30
PAGEIND 2018-03-31 2018-03-31
PAGEIND 2018-04-01 2018-04-30
PAGEIND 2018-05-01 2018-05-30
PAGEIND 2018-05-31 2018-05-31
PAGEIND 2018-06-01 2018-06-30
PCJEWELLER 2018-01-01 2018-01-30
PCJEWELLER 2018-02-01 2018-02-28
PCJEWELLER 2018-03-01 2018-03-30
PCJEWELLER 2018-03-31 2018-03-31
PCJEWELLER 2018-04-01 2018-04-30
PCJEWELLER 2018-05-01 2018-05-30
PCJEWELLER 2018-05-31 2018-05-31
PCJEWELLER 2018-06-01 2018-06-30
PEL 2018-01-01 2018-01-30
PEL 2018-02-01 2018-02-28
PEL 2018-03-01 2018-03-30
PEL 2018-03-31 2018-03-31
PEL 2018-04-01 2018-04-30
PEL 2018-05-01 2018-05-30
PEL 2018-05-31 2018-05-31
PEL 2018-06-01 2018-06-30
PETRONET 2018-01-01 2018-01-30
PETRONET 2018-02-01 2018-02-28
PETRONET 2018-03-01 2018-03-30
PETRONET 2018-03-31 2018-03-31
PETRONET 2018-04-01 2018-04-30
PETRONET 2018-05-01 2018-05-30
Commited candles: 6600000
PETRONET 2018-05-31 2018-05-31
PETRONET 2018-06-01 2018-06-30
PFC 2018-01-01 2018-01-30
PFC 2018-02-01 2018-02-28
PFC 2018-03-01 2018-03-30
PFC 2018-03-31 2018-03-31
PFC 2018-04-01 2018-04-30
PFC 2018-05-01 2018-05-30
PFC 2018-05-31 2018-05-31
PFC 2018-06-01 2018-06-30
PIDILITIND 2018-01-01 2018-01-30
PIDILITIND 2018-02-01 2018-02-28
PIDILITIND 2018-03-01 2018-03-30
PIDILITIND 2018-03-31 2018-03-31
PIDILITIND 2018-04-01 2018-04-30
PIDILITIND 2018-05-01 2018-05-30
PIDILITIND 2018-05-31 2018-05-31
PIDILITIND 2018-06-01 2018-06-30
PNB 2018-01-01 2018-01-30
PNB 2018-02-01 2018-02-28
PNB 2018-03-01 2018-03-30
PNB 2018-03-31 2018-03-31
PNB 2018-04-01 2018-04-30
PNB 2018-05-01 2018-05-30
PNB 2018-05-31 2018-05-31
PNB 2018-06-01 2018-06-30
POWERGRID 2018-01-01 2018-01-30
Commited candles: 6750000
POWERGRID 2018-02-01 2018-02-28
POWERGRID 2018-03-01 2018-03-30
POWERGRID 2018-03-31 2018-03-31
POWERGRID 2018-04-01 2018-04-30
POWERGRID 2018-05-01 2018-05-30
POWERGRID 2018-05-31 2018-05-31
POWERGRID 2018-06-01 2018-06-30
PTC 2018-01-01 2018-01-30
PTC 2018-02-01 2018-02-28
PTC 2018-03-01 2018-03-30
PTC 2018-03-31 2018-03-31
PTC 2018-04-01 2018-04-30
PTC 2018-05-01 2018-05-30
PTC 2018-05-31 2018-05-31
PTC 2018-06-01 2018-06-30
PVR 2018-01-01 2018-01-30
PVR 2018-02-01 2018-02-28
PVR 2018-03-01 2018-03-30
PVR 2018-03-31 2018-03-31
PVR 2018-04-01 2018-04-30
PVR 2018-05-01 2018-05-30
PVR 2018-05-31 2018-05-31
PVR 2018-06-01 2018-06-30
RAMCOCEM 2018-01-01 2018-01-30
RAMCOCEM 2018-02-01 2018-02-28
RAMCOCEM 2018-03-01 2018-03-30
RAMCOCEM 2018-03-31 2018-03-31
RAMCOCEM 2018-04-01 2018-04-30
Commited candles: 6900000
RAMCOCEM 2018-05-01 2018-05-30
RAMCOCEM 2018-05-31 2018-05-31
RAMCOCEM 2018-06-01 2018-06-30
RAYMOND 2018-01-01 2018-01-30
RAYMOND 2018-02-01 2018-02-28
RAYMOND 2018-03-01 2018-03-30
RAYMOND 2018-03-31 2018-03-31
RAYMOND 2018-04-01 2018-04-30
RAYMOND 2018-05-01 2018-05-30
RAYMOND 2018-05-31 2018-05-31
RAYMOND 2018-06-01 2018-06-30
RBLBANK 2018-01-01 2018-01-30
RBLBANK 2018-02-01 2018-02-28
RBLBANK 2018-03-01 2018-03-30
RBLBANK 2018-03-31 2018-03-31
RBLBANK 2018-04-01 2018-04-30
RBLBANK 2018-05-01 2018-05-30
RBLBANK 2018-05-31 2018-05-31
RBLBANK 2018-06-01 2018-06-30
RCOM 2018-01-01 2018-01-30
RCOM 2018-02-01 2018-02-28
RCOM 2018-03-01 2018-03-30
RCOM 2018-03-31 2018-03-31
RCOM 2018-04-01 2018-04-30
RCOM 2018-05-01 2018-05-30
RCOM 2018-05-31 2018-05-31
RCOM 2018-06-01 2018-06-30
RECLTD 2018-01-01 2018-01-30
Commited candles: 7050000
RECLTD 2018-02-01 2018-02-28
RECLTD 2018-03-01 2018-03-30
RECLTD 2018-03-31 2018-03-31
RECLTD 2018-04-01 2018-04-30
RECLTD 2018-05-01 2018-05-30
RECLTD 2018-05-31 2018-05-31
RECLTD 2018-06-01 2018-06-30
RELCAPITAL 2018-01-01 2018-01-30
RELCAPITAL 2018-02-01 2018-02-28
RELCAPITAL 2018-03-01 2018-03-30
RELCAPITAL 2018-03-31 2018-03-31
