Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"IRB","259.50","260.75","255.00","258.65","0.05","0.02","12.71","32.79","286.20","193.50","-1.49","1.45"
"DRREDDY","2,003.50","2,017.90","1,960.00","1,990.00","0.40","0.02","6.04","120.17","2,787.00","1,901.15","-23.55","-5.78"
"SIEMENS","1,044.00","1,049.10","1,033.80","1,039.95","-0.15","-0.01","1.84","19.11","1,471.35","992.65","-28.91","-6.67"
"MUTHOOTFIN","434.35","439.00","428.90","433.85","-0.05","-0.01","2.56","11.15","525.50","357.45","8.79","-0.41"
"CESC","1,062.00","1,066.45","1,052.50","1,059.05","-0.45","-0.04","1.99","21.02","1,190.00","807.05","7.23","4.99"
"BANKINDIA","100.00","101.20","98.10","99.95","-0.05","-0.05","47.59","47.52","216.80","91.35","-44.73","-13.50"
"ARVIND","429.10","433.45","424.65","428.75","-0.35","-0.08","13.15","56.36","478.50","353.25","1.87","5.05"
"INFIBEAM","172.00","172.05","165.55","167.50","-0.15","-0.09","45.88","76.83","195.90","87.15","66.97","-0.09"
"RELINFRA","417.05","421.25","408.55","414.15","-0.40","-0.10","17.75","73.78","620.05","390.55","-30.35","-10.53"
"BHEL","81.15","82.15","80.30","80.50","-0.10","-0.12","71.55","57.98","119.33","79.85","-31.82","-9.50"
"ENGINERSIN","154.90","156.00","152.15","153.80","-0.20","-0.13","13.69","21.02","206.40","140.65","-8.53","-5.12"
"CIPLA","577.05","580.75","565.10","574.75","-0.75","-0.13","9.22","52.83","663.40","480.20","2.44","2.97"
"GLENMARK","518.00","518.40","505.50","514.60","-0.90","-0.17","6.74","34.54","908.90","505.50","-42.04","-9.43"
"ESCORTS","950.10","955.90","936.80","946.85","-1.65","-0.17","5.08","48.18","1,017.70","544.00","49.31","6.80"
"NMDC","116.00","117.70","115.50","116.00","-0.25","-0.22","26.05","30.28","162.70","102.80","-7.90","-6.03"
"MRF","75,300.00","75,400.00","74,300.00","74,698.00","-183.45","-0.24","0.21","155.93","81,425.95","61,000.00","13.29","-2.78"
"PEL","2,459.90","2,477.45","2,422.10","2,440.00","-6.10","-0.25","1.69","41.36","3,058.37","2,275.00","-3.43","-6.94"
"RBLBANK","519.50","521.40","516.00","518.00","-1.30","-0.25","4.71","24.42","569.90","443.30","-7.82","3.39"
"GMRINFRA","18.65","18.85","18.35","18.70","-0.05","-0.27","180.88","33.62","25.05","14.20","10.00","-10.10"
"JISLJALEQS","106.50","107.95","103.40","106.10","-0.30","-0.28","54.24","57.48","150.40","82.60","0.95","-6.60"
